RED;NIVEL;IPRESS;MES;AÑO;INDICADOR;SUB INDICADOR;NUMERADOR;DENOMINADOR
DIRES ANCASH;DIRESA;DIRES ANCASH;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;29327;9853
DIRES ANCASH;DIRESA;DIRES ANCASH;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;26795;8649
DIRES ANCASH;DIRESA;DIRES ANCASH;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;29830;9333
DIRES ANCASH;DIRESA;DIRES ANCASH;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;28917;9490
DIRES ANCASH;DIRESA;DIRES ANCASH;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;29508;9709
DIRES ANCASH;DIRESA;DIRES ANCASH;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;28390;9855
DIRES ANCASH;DIRESA;DIRES ANCASH;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;28735;9765
DIRES ANCASH;DIRESA;DIRES ANCASH;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;30277;9785
DIRES ANCASH;DIRESA;DIRES ANCASH;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;32302;10291
DIRES ANCASH;DIRESA;DIRES ANCASH;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;31256;10659
DIRES ANCASH;DIRESA;DIRES ANCASH;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;30089;10764
DIRES ANCASH;DIRESA;DIRES ANCASH;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;28017;10092
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;638;214
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;728;255
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;575;254
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;607;220
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;462;234
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;617;234
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;737;252
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;934;246
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;891;254
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;850;256
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;728;250
RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;633;244
H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;5673;1844
H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4791;1428
H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;5120;1408
H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4897;1472
H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4633;1364
H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4413;1456
H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4331;1384
H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4276;1160
H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4437;1228
H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;3642;1018
