Nº;RED;NIVEL;IPRESS;MES;AÑO;INDICADOR;SUB INDICADOR;NUMERADOR;DENOMINADOR
1;DIRES ANCASH;DIRESA;DIRES ANCASH;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;29,327;9,853
2;DIRES ANCASH;DIRESA;DIRES ANCASH;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;26,795;8,649
3;DIRES ANCASH;DIRESA;DIRES ANCASH;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;29,830;9,333
4;DIRES ANCASH;DIRESA;DIRES ANCASH;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;28,917;9,490
5;DIRES ANCASH;DIRESA;DIRES ANCASH;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;29,508;9,709
6;DIRES ANCASH;DIRESA;DIRES ANCASH;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;28,390;9,855
7;DIRES ANCASH;DIRESA;DIRES ANCASH;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;28,735;9,765
8;DIRES ANCASH;DIRESA;DIRES ANCASH;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;30,277;9,785
9;DIRES ANCASH;DIRESA;DIRES ANCASH;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;32,302;10,291
10;DIRES ANCASH;DIRESA;DIRES ANCASH;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;31,256;10,659
11;DIRES ANCASH;DIRESA;DIRES ANCASH;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;30,089;10,764
12;DIRES ANCASH;DIRESA;DIRES ANCASH;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;28,017;10,092
13;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;638;214
14;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;728;255
15;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;575;254
16;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;607;220
17;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;462;234
18;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;617;234
19;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;737;252
20;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;934;246
21;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;891;254
22;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;850;256
23;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;728;250
24;RED DE SALUD HUAYLAS SUR;II-1;H.A. RECUAY;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;633;244
25;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;5,673;1,844
26;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4,791;1,428
27;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;5,120;1,408
28;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4,897;1,472
29;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4,633;1,364
30;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4,413;1,456
31;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4,331;1,384
32;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4,276;1,160
33;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;4,437;1,228
34;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;3,642;1,018
