Nombre de la Localidad;Tipo de Localidad;Ámbito;Pueblo Indígena u Originario;Departamento;Provincia;Distrito;Ubigeo;Fecha reconocimiento;Fecha titulación;"Área 
(Hectárea)";"De 0 a 4 años
(aprox.)";"De 5 a 14 años 
(aprox.)";"De 15 a 29 años 
(aprox.)";"De 30 a 64 años 
(aprox.)";"De 65 años a más
(aprox.)"
Goncha;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Asunción;10102;16291;34788;4416.418279;34;58;73;165;65
Diosan;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Granada;10107;20703;34912;5295.569709;9;37;27;69;19
San Pedro de Yambajalca;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Granada;10107;16553;34912;25733.80603;31;102;87;214;46
Huancas;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Huancas;10108;20242;35906;6412.987343;32;61;324;808;74
La Jalca;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;La Jalca;10109;16389;34901;46029.09437;512;1200;1232;1846;380
Olleros;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Olleros;10116;16291;34971;19962.00697;29;53;74;175;44
Quinjalca;Comunidad campesina;Andino;Quechuas;Amazonas;Chachapoyas;Quinjalca;10117;24502;34788;11620.18491;51;121;144;351;107
Alto Numpatkaim;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;35525;35583;2736.868889;25;40;38;26;4
Tayu;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;35905;35905;3856.341204;27;47;62;62;8
Tsuntsuntsa;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;28373;28779;1123.817643;16;39;24;79;9
Tutumberos;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;27593;27618;5029.981304;163;252;246;261;25
Yamakai;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;-;-;-;1;3;1;4;0
Ujukam;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;39723;-;-;16;31;27;45;10
Najem;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;-;-;-;30;46;47;39;2
Shawi;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Aramango;10202;-;-;-;19;30;26;33;1
Achu;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28339;28402;2865.287363;19;51;19;41;1
Alto Bichanak;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36227;36255;2049.024771;65;139;138;163;27
Alto Shimutas;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28030;5222.821302;41;89;49;70;3
Alto Tuntus;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36027;36040;17728.66783;63;124;132;95;13
Alto Wawas;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36297;36383;5490.398006;1;2;3;0;0
Autukai;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36227;36255;3414.706347;8;17;11;11;3
Bichanak;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27617;1266.842413;63;150;140;136;10
Bichatin Entsa;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36297;36383;13280.6765;26;53;29;51;9
Bukuig;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28340;28402;934.8402481;26;31;28;42;2
Chayu-Atúnsamu;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35893;35905;2266.098379;3;7;0;7;0
Chikais;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27557;27617;4268.072783;22;42;28;31;0
Chinim;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35716;35741;196.628832;63;156;181;239;34
Chipe Cuzu;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27617;29080.26664;274;705;426;546;52
Duship;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27617;1245.200959;30;58;41;67;9
Inayua-Marañón;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35810;35905;2810.862251;9;28;13;22;1
Kagka;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35716;35741;10918.55441;0;0;0;0;0
Kayamas Wee;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36227;36255;2049.365823;5;8;10;13;0
Kunchin;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28030;23296.11175;154;315;204;271;22
Kusuim;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35355;35583;6540.118011;29;57;28;24;2
La Curva;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36227;36255;131.7380068;13;37;26;22;2
La Tuna;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35525;35583;8098.090912;11;15;18;9;1
Nayumpin (o Nayumpik);Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28030;3183.509394;29;36;55;37;1
Nazareth;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27593;27618;2694.960878;249;455;388;409;44
Numpatkaim;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;27557;27617;8619.135753;62;149;106;127;12
Samaren;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;31842;35390;1178.360424;26;40;27;22;4
Sawientsa;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35716;35741;3211.873127;1;2;3;2;0
Sawientsa-bichanak;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35905;35905;6240.163214;243;612;588;789;92
Shijap;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35525;35583;2659.438864;5;17;7;13;2
Shimpuents-bakants;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28030;4636.198169;102;181;120;107;7
Shushug;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28003;28027;1392.833954;146;319;226;237;36
Shushui;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28016;28297;4293.318128;32;94;73;79;6
Suikai;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;36227;36255;5756.181592;133;310;265;409;58
Tuntuam;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35905;35905;1677.298069;0;0;0;0;0
Tuyankuwas (sijiak);Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;28494;29263;87029.0791;239;457;369;399;40
Umpunchig;Comunidad nativa;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;35716;35741;2237.914306;3;6;1;5;2
Tunim;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;10;13;12;13;3
Pakui;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;23;35;24;30;1
Sijiak;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;42;77;56;76;9
Nayap;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;15;30;24;24;6
San Pablo;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;33;66;33;59;9
Uyac Entsa;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;0;0;0;0;0
Yamakai Wawik;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;12;36;23;22;0
Chapi;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;29;64;45;54;5
Nuevo Belen;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;33;91;55;72;8
Cocha Verde;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;19;40;28;42;5
Maracana;Localidad sin tipo identificado por la DRA;Amazónico;Awajún;Amazonas;Bagua;Imaza;10205;-;-;-;22;36;21;29;0
